customer_id,first_name,last_name,email,street,city,state,country
0,Ryan,Haynes,steven31@example.org,2271 Stephanie Ramp,Lindsayborough,California,China
1,Lydia,Reed,xrowe@example.net,6748 Little Cliffs Suite 760,Sydneyburgh,Missouri,Isle of Man
2,Sharon,Case,jon13@example.com,901 Elizabeth Trail Apt. 328,Brownstad,Arizona,United Kingdom
3,Amber,Harris,lydiamunoz@example.net,05945 Christopher Grove Apt. 479,Aprilville,Alabama,Jersey
4,Meghan,Andersen,jhale@example.com,541 James Wells,Collinston,Louisiana,Peru
5,Emma,Williams,eric65@example.com,693 Meghan Freeway,Kimberlyport,Ohio,Heard Island and McDonald Islands
6,Steven,Marshall,parkmarie@example.org,22608 Gray Lock,Morrismouth,Oklahoma,Western Sahara
7,Jeremy,Ali,parrishwilliam@example.net,915 Ronald View Suite 938,South Timothy,Hawaii,Guyana
8,Nicholas,Kerr,chrishodges@example.net,6864 Thompson Avenue,Banksmouth,North Carolina,Solomon Islands
9,Sheena,Anderson,smiller@example.org,60089 Jared Expressway,New Kenneth,Pennsylvania,Cape Verde
10,Elizabeth,Morris,justin14@example.com,8072 Carr Valley Apt. 710,Lake Stephentown,South Dakota,Poland
11,Patricia,Novak,zachary02@example.net,46504 Shaw Dam,East Douglas,Minnesota,Saint Lucia
12,Alexander,Cooke,evanwright@example.org,7486 Suzanne Summit,Kevinhaven,Hawaii,Turkey
13,Paul,Marsh,pjohnson@example.org,036 Johnson Point Suite 170,Richardville,Arizona,Azerbaijan
14,Laura,Reeves,tdominguez@example.net,3061 Holly Fields Apt. 724,Patrickfurt,New Hampshire,Guatemala
15,Kevin,Padilla,harrismonica@example.com,347 Andrea Plain,North Michelleville,Maryland,Guinea
16,Blake,Bailey,tevans@example.net,915 Davidson Meadows,Morrismouth,Virginia,Algeria
17,Dylan,Mccarthy,matthewhodges@example.com,646 Meghan Village Suite 205,Hamiltonmouth,Maine,Northern Mariana Islands
18,Michael,Miller,mduffy@example.com,79583 Carlson Roads,Lake Toddton,Rhode Island,Fiji
19,Allen,Rojas,jenniferramos@example.net,1162 Stephanie Ridge,Lake Teresaville,Pennsylvania,Korea
20,Karen,Rhodes,heather26@example.com,45948 Lopez Rapids,North Jonathon,Virginia,Eritrea
21,Stacy,Wright,zwilliams@example.com,96272 Carlson Glen,Jonberg,Pennsylvania,Indonesia
22,Colleen,Mullen,christopherscott@example.net,2738 Lopez Key,East Johnathan,Nevada,Saint Helena
23,Jeremy,Holmes,lisa91@example.org,054 Noah Centers Apt. 614,West Elizabeth,Connecticut,India
24,Stephen,Ferguson,bartletttaylor@example.org,2895 Darrell Underpass,Lake Jason,Virginia,Bulgaria
25,Jason,Thompson,alexander09@example.net,3485 Vickie Expressway Apt. 280,Port Amandatown,Iowa,Swaziland
26,Shannon,Atkins,fgates@example.net,3596 Jensen Route Apt. 773,New Nancy,Georgia,Somalia
27,Robert,Fletcher,charles22@example.net,18580 Spencer Brooks Apt. 478,Reyesmouth,Florida,Gibraltar
